No,Nama Vendor,Nama Makanan,Harga,Protein,Karbohidrat,Lemak,Kalori
1.0,a,2,3.0,5.0,1.0,3.0,2.0
3.0,Warung Si Goyang,Nasi Uduk Original,10000.0,6.0,40.0,10.0,300.0
3.0,Apel Oren 23,Chicken Cordon Bleu,15000.0,20.0,25.0,21.0,315.0
