4,DMA Food,Cheese Cedar,12000.0,21.0,2.0,28.0,350.0
5,Noona Korea,Kimbab,15000.0,3.0,32.0,6.8,290.0
6,Pastaqia,Spaghetti Brulee,15000.0,9.0,6.0,6.0,66.0
