No,Nama Makanan,Harga,Protein,Karbohidrat,Lemak,Kalori
1,Cimin,7.000,8,6,10,10
2,Macaroni,7.000,14,40,2,200
3,Cimol Kuah,10.000,10,20,3,201
4,Cimol Bojot,5.000,9,19,7,201
5,Cimol Kering ,5.000,11,18,7,202
6,Cilok Kuah Goang,7.000,12,16,6,204
7,Baso Aci,10.000,15,21,9,206
