No,Nama Makanan,Harga,Protein,Karbohidrat,Lemak,Kalori
1,Mentai Fish Rice,13.000,20,25,18,110
2,Mentai Nugget Rice,12.000,20,25,18,110
3,Mentai Chiken Rice,13.000,20,25,18,110
4,Mentai Saussage Rice,12.000,12,10,7,100
5,Macaroni Schotel,15.000,10,2,3,11
6,Spaghetti Brulee,15.000,9,6,6,66
7,Zuppa Soup,13.000,13,25,9,150
8,Crab Stick,2.000,12,3,4,100
9,Mozarella,5.000,25,1,20,250
