No,Nama Makanan,Harga,Protein,Karbohidrat,Lemak,Kalori
1,Chicken Moza Stick,15000,20,20,20,300
2,Sate Lilit Bali,15000,25,16,20,300
3,Spicy Wings Mozza,15000,25,15,20,300
4,Chicken Cordon Bleu,15000,20,25,21,315
5,Korean Garlic Chesee Bread,15000,151,40,20,400
6,Lasagna,15000,25,50,25,500
7,Sambosa,15000,5,25,15,250
8,Risols Luber,12000,6,20,10,200
9,Risols Ice Cream,12000,6,20,10,200
10,Yougurt Dessert,12000,4,5,4,70
