No,Nama Makanan,Harga,Protein,Karbohidrat,Lemak,Kalori
1,Nasi Bakar Ayam,13.000,25,43,14,325
2,Nasi Bakar Tongkol,13.000,24,40,14,320
3,Nasi Bakar Teri Jengkol,13.000,24,40,14,315
4,Nasi Bakar Cumi Asin Pedas,16.000,25,43,14,330
