No,Nama Makanan,Harga,Protein,Karbohidrat,Lemak,Kalori
1,Nasi,5000,2.7,28,0.3,130
2,Ayam Goreng,12000,30,1.8,12,245.9
3,Ayam Bakar,12000,17.14,0,15.85,216
4,Ayam Penyet,12000,25.05,5.29,8.53,199
5,Tahu,2000,8,1.9,4.8,76
6,Tempe,2000,19,9,11,192.9
7,Sambal Cumi,10000,16.1,3.08,1.38,75
8,Sambal Teri,10000,1,3,1.5,30
9,Sambal Bawang,3000,0,2,2,31
10,Sambal Ngajerit,3000,0.3,1.3,2.4,6
11,Sambal Surawung,3000,3.15,0.6,1.3,22
12,Ikan asin,5000,42,0,1.5,193
13,Sayur asem,7000,3.18,12.9,2.76,801,
