Nama Makanan,Harga,Protein,Karbohidrat,Lemak,Kalori
Nasi Kuning Original,8000,8,40,10,300
Nasi Kuning Special,10000,12,45,15,350
Nasi Uduk Original,10000,6,40,10,300
Lotek Original,8000,8,38,10,250
Lotek + Lontong,10000,12,50,15,350
