No,Nama Makanan,Harga,Protein,Karbohidrat,Lemak,Kalori
1,Kimbab,15000,3,32,6.8,290
2,Hotteok,8000,4.1,56,7,215
3,So-tteok,8000,1,27,9.25,118
4,Bungeoppang,8000,2.14,19.92,2.45,83
5,Mango milky jelly,10000,0.5,18,5.9,1101,
