No,Nama Makanan,Harga,Protein,Karbohidrat,Lemak,Kalori
1,Batagor kering,10000,15,30,15,200
2,Batagor Kuah,10000,20,40,20,300
3,Batagor Kuah Special,12000,24,45,35,310
