No,Nama Makanan,Harga,Protein,Karbohidrat,Lemak,Kalori
1,Nasi Gudeg hemat,12000,39.75,110.75,47.25,727.75
2,Nasi Gudeng telur,14000,44.75,111.75,58,731.25
3,Nasi Gudeg ayam suwir,15000,45.25,116.25,51.5,811.34
4,Nasi telur,10000,5.8,98.7,8.4,261
5,Nasi campur,15000,23.9,102,7.9,330
6,Nasi ayam sambal cibiuk,15000,37,125,26.25,447.85
