No,Nama Vendor,Nama Makanan,Harga,Protein,Karbohidrat,Lemak,Kalori
1,Dapur Raozz,Ayam Geprek,10000.0,25.0,14.0,5.0,301.0
2,Bakmie Amoy,Bakmie Amoy Asin Pedas,13000.0,20.0,60.0,15.0,300.0
3,Kyokatsu Katsu,Chicken Pop Sambel Merah/ Ijo,13000.0,25.0,30.0,20.0,300.0
