No,Nama Vendor,Nama Makanan,Harga,Protein,Karbohidrat,Lemak,Kalori
1,Pastaqia,Zuppa Soup,13000.0,13.0,25.0,9.0,150.0
2,Dapur Raozz,Ayam Geprek Sambal Raozz,15000.0,22.0,10.0,5.0,300.0
3,Kyokatsu Katsu,Katsu Saos Barbeque,15000.0,25.0,30.0,20.0,300.0
