,No,Nama Vendor,Nama Makanan,Harga,Protein,Karbohidrat,Lemak,Kalori
75,76,Noona Korea,So-tteok,8000,1.0,27.0,9.25,118.0
57,58,DMA Food,Seblak Galau,10000,8.0,23.0,8.0,153.0
15,16,Ayam Ngajerit,Tempe,2000,19.0,9.0,11.0,192.9
